host_response_rate,host_is_superhost,host_listings_count,zipcode,room_type,bathrooms,accommodates,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,reviews_per_month
N/A,f,1,28803,Entire home/apt,1.5,4,2,Real Bed,195.00,0.00,75.00,5.00,100.00,3,0,1,89.00,10.00,8.00,10.00,10.00,10.00,6.00,moderate,0.02
100%,f,1,28801,Private room,1,2,1,Real Bed,205.00,0.00,0.00,2.00,0.00,1,9,1,,,,,,,,super_strict_30,0.04
100%,t,1,28806,Private room,1,2,1,Real Bed,65.00,200.00,,1.00,0.00,3,19,107,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.98
N/A,t,10,28805,Entire home/apt,1,4,3,Real Bed,79.00,200.00,100.00,2.00,0.00,30,16,175,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.23
N/A,f,1,28803,Entire home/apt,2.5,12,7,Real Bed,668.00,500.00,0.00,10.00,0.00,30,0,29,92.00,9.00,9.00,9.00,9.00,9.00,9.00,strict_14_with_grace_period,0.55
N/A,f,1,28805,Entire home/apt,2,5,3,Real Bed,190.00,100.00,60.00,2.00,10.00,2,14,15,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.28
100%,t,2,28801,Private room,1,2,1,Real Bed,77.00,,,1.00,0.00,2,19,233,99.00,10.00,10.00,10.00,10.00,9.00,10.00,strict_14_with_grace_period,4.35
100%,t,1,28805,Entire home/apt,1,4,2,Real Bed,135.00,0.00,0.00,2.00,15.00,1,14,164,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.03
N/A,t,1,28806,Entire home/apt,1,2,1,Real Bed,100.00,275.00,29.00,1.00,0.00,2,3,141,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.62
N/A,t,1,28806,Entire home/apt,1,5,2,Real Bed,97.00,250.00,0.00,2.00,20.00,1,21,181,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.38
100%,t,2,28806,Private room,1,4,2,Real Bed,160.00,250.00,75.00,4.00,300.00,2,15,85,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.84
100%,t,3,28801,Entire home/apt,1,3,1,Real Bed,105.00,300.00,25.00,2.00,25.00,1,15,304,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,5.7
N/A,t,1,28801,Entire home/apt,1,2,1,Real Bed,110.00,250.00,60.00,2.00,50.00,3,5,164,96.00,10.00,10.00,10.00,10.00,9.00,10.00,moderate,3.08
N/A,t,3,28804,Entire home/apt,1,4,2,Real Bed,135.00,0.00,0.00,3.00,10.00,1,13,175,97.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.28
N/A,t,3,28806,Entire home/apt,1,6,3,Real Bed,160.00,,35.00,4.00,0.00,1,5,255,96.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,4.75
N/A,t,3,28804,Entire home/apt,2,8,3,Real Bed,176.00,0.00,50.00,1.00,0.00,1,15,196,97.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.86
100%,f,2,28803,Private room,1,2,1,Real Bed,48.00,,5.00,1.00,0.00,1,14,429,93.00,10.00,9.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,8.16
N/A,f,1,28732,Entire home/apt,1,3,1,Real Bed,29.00,100.00,25.00,1.00,20.00,1,4,73,87.00,9.00,9.00,9.00,10.00,9.00,9.00,moderate,2.49
